Review_ID,Platform,Competitor,Reviewer_Role,Company_Size,Industry,Rating,Sentiment,Review_Title,Review_Body,Date,Helpful_Votes,Verified_Purchase,Would_Recommend
REV-10000,Trustpilot,ServiceNow AI,IT Director,501-1000 employees,Healthcare,3,Mixed,Knowledge base surfacing in the agent workspace is exception...,"Knowledge base surfacing in the agent workspace is exceptional. However, ai outputs require significant human review — not truly autonomous yet",2024-04-09,3,Yes,Maybe
REV-10001,G2,Slack AI,COO,51-200 employees,Retail,3,Mixed,Recap for missed messages has changed how I manage morning c...,"Recap for missed messages has changed how I manage morning catch-up. However, privacy concerns — our legal team blocked broader rollout pending audit",2024-05-14,12,Yes,Maybe
REV-10002,App Store,SalesForce Einstein,COO,501-1000 employees,Retail,4,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-03-13,19,Yes,Yes
REV-10003,Trustpilot,Google Workspace AI,CMO,51-200 employees,Consulting,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-09-02,26,Yes,Yes
REV-10004,Gartner Peer Insights,Slack AI,CIO,501-1000 employees,Consulting,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-07-19,1,Yes,Yes
REV-10005,Capterra,Slack AI,CMO,5001-10000 employees,Legal,4,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-02-03,28,Yes,Yes
REV-10006,G2,SalesForce Einstein,Operations Manager,5001-10000 employees,Manufacturing,4,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-07-01,6,No,Yes
REV-10007,App Store,ServiceNow AI,CIO,501-1000 employees,Consulting,3,Mixed,Knowledge base surfacing in the agent workspace is exception...,"Knowledge base surfacing in the agent workspace is exceptional. However, ai outputs require significant human review — not truly autonomous yet",2024-11-07,28,Yes,Maybe
REV-10008,G2,SalesForce Einstein,VP of Sales,201-500 employees,Legal,4,Positive,Automated lead scoring has improved our conversion rates mea...,Automated lead scoring has improved our conversion rates measurably,2024-02-27,9,No,Yes
REV-10009,Capterra,SalesForce Einstein,CIO,5001-10000 employees,Retail,5,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-11-24,30,No,Yes
REV-10010,G2,SalesForce Einstein,COO,501-1000 employees,Healthcare,5,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-01-06,32,Yes,Yes
REV-10011,Capterra,SalesForce Einstein,CMO,501-1000 employees,Technology,4,Positive,Automated lead scoring has improved our conversion rates mea...,Automated lead scoring has improved our conversion rates measurably,2024-01-03,12,Yes,Yes
REV-10012,Gartner Peer Insights,SalesForce Einstein,IT Director,201-500 employees,Financial Services,5,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-05-25,6,No,Yes
REV-10013,Capterra,Slack AI,CIO,51-200 employees,Manufacturing,3,Mixed,Search with AI context is dramatically better than keyword s...,"Search with AI context is dramatically better than keyword search. However, requires slack business+ — significant price jump for what feels like a feature",2024-07-27,39,Yes,Maybe
REV-10014,Gartner Peer Insights,ServiceNow AI,VP of Sales,1001-5000 employees,Insurance,3,Mixed,AI-powered change risk scoring has reduced failed changes si...,"AI-powered change risk scoring has reduced failed changes significantly. However, documentation is insufficient for enterprise customization use cases",2024-05-08,14,Yes,Maybe
REV-10015,Capterra,Google Workspace AI,CIO,201-500 employees,Consulting,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-01-01,31,Yes,Yes
REV-10016,G2,Slack AI,Sales Manager,51-200 employees,Manufacturing,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-11-26,28,Yes,Yes
REV-10017,App Store,Zoom AI Companion,CFO,501-1000 employees,Financial Services,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-12-13,38,Yes,Yes
REV-10018,Capterra,ServiceNow AI,CFO,501-1000 employees,Retail,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-04-09,17,Yes,Yes
REV-10019,Gartner Peer Insights,Google Workspace AI,HR Director,201-500 employees,Manufacturing,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-08-13,21,Yes,Yes
REV-10020,Trustpilot,Zoom AI Companion,CIO,51-200 employees,Financial Services,5,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-07-11,15,Yes,Yes
REV-10021,Trustpilot,Slack AI,Product Manager,501-1000 employees,Financial Services,4,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-09-11,1,Yes,Yes
REV-10022,G2,Slack AI,IT Director,5001-10000 employees,Healthcare,5,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-03-09,32,Yes,Yes
REV-10023,Capterra,Google Workspace AI,COO,5001-10000 employees,Consulting,5,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-06-22,46,Yes,Yes
REV-10024,App Store,ServiceNow AI,Sales Manager,51-200 employees,Manufacturing,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-04-02,7,Yes,Yes
REV-10025,G2,Google Workspace AI,IT Director,1001-5000 employees,Consulting,5,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-03-06,30,Yes,Yes
REV-10026,Gartner Peer Insights,Zoom AI Companion,Sales Manager,201-500 employees,Manufacturing,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-10-12,2,No,Yes
REV-10027,G2,Google Workspace AI,CIO,201-500 employees,Retail,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-09-05,28,Yes,Yes
REV-10028,G2,Google Workspace AI,Product Manager,1001-5000 employees,Consulting,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-03-17,24,Yes,Yes
REV-10029,Gartner Peer Insights,Google Workspace AI,Product Manager,51-200 employees,Legal,3,Mixed,Duet AI in Docs is fast and the summarization quality is str...,"Duet AI in Docs is fast and the summarization quality is strong. However, gemini responses sometimes include factual errors that require verification",2024-11-15,42,No,Maybe
REV-10030,G2,Google Workspace AI,IT Director,201-500 employees,Insurance,3,Mixed,Meeting summaries in Google Meet are clean and accurate. How...,"Meeting summaries in Google Meet are clean and accurate. However, microsoft 365 integration is essentially nonexistent — dual stack is painful",2024-02-07,36,No,Maybe
REV-10031,Trustpilot,Google Workspace AI,COO,501-1000 employees,Manufacturing,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-10-23,12,Yes,Yes
REV-10032,Trustpilot,Zoom AI Companion,CMO,1001-5000 employees,Legal,4,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-05-25,13,Yes,Yes
REV-10033,App Store,ServiceNow AI,COO,51-200 employees,Manufacturing,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-10-18,15,Yes,Yes
REV-10034,G2,Zoom AI Companion,COO,201-500 employees,Consulting,5,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-07-12,8,Yes,Yes
REV-10035,G2,SalesForce Einstein,CIO,5001-10000 employees,Manufacturing,4,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-07-05,6,Yes,Yes
REV-10036,G2,Slack AI,VP of Sales,201-500 employees,Insurance,5,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-06-06,30,Yes,Yes
REV-10037,G2,Slack AI,Sales Manager,501-1000 employees,Healthcare,4,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-08-06,11,Yes,Yes
REV-10038,Gartner Peer Insights,Slack AI,Product Manager,1001-5000 employees,Consulting,5,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-12-26,36,Yes,Yes
REV-10039,G2,ServiceNow AI,COO,51-200 employees,Consulting,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-02-01,33,No,Yes
REV-10040,G2,Google Workspace AI,Operations Manager,1001-5000 employees,Retail,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-01-19,21,Yes,Yes
REV-10041,Gartner Peer Insights,ServiceNow AI,Product Manager,51-200 employees,Financial Services,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-12-12,34,Yes,Yes
REV-10042,Gartner Peer Insights,ServiceNow AI,CMO,1001-5000 employees,Healthcare,4,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-06-20,1,No,Yes
REV-10043,Capterra,Zoom AI Companion,CIO,501-1000 employees,Healthcare,3,Mixed,Meeting summaries are consistently accurate even in large ca...,"Meeting summaries are consistently accurate even in large calls. However, does not integrate with our crm — action items live in a silo",2024-01-15,12,Yes,Maybe
REV-10044,Trustpilot,Zoom AI Companion,CIO,51-200 employees,Financial Services,5,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-02-07,16,No,Yes
REV-10045,Capterra,Zoom AI Companion,CFO,501-1000 employees,Consulting,5,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-05-03,35,No,Yes
REV-10046,Trustpilot,ServiceNow AI,IT Director,501-1000 employees,Consulting,3,Mixed,AI-powered change risk scoring has reduced failed changes si...,"AI-powered change risk scoring has reduced failed changes significantly. However, ai outputs require significant human review — not truly autonomous yet",2024-12-01,29,No,Maybe
REV-10047,App Store,ServiceNow AI,VP of Sales,51-200 employees,Insurance,1,Negative,Implementation complexity is high — we spent 4 months before...,Implementation complexity is high — we spent 4 months before seeing value,2024-02-18,22,Yes,No
REV-10048,Gartner Peer Insights,SalesForce Einstein,CIO,201-500 employees,Retail,5,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-11-08,39,No,Yes
REV-10049,Trustpilot,Zoom AI Companion,Sales Manager,201-500 employees,Healthcare,2,Negative,Privacy controls around meeting AI are not granular enough f...,Privacy controls around meeting AI are not granular enough for our HR team,2024-05-08,47,Yes,No
REV-10050,Capterra,Google Workspace AI,IT Director,501-1000 employees,Legal,5,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-09-08,12,Yes,Yes
REV-10051,G2,ServiceNow AI,Operations Manager,51-200 employees,Insurance,3,Mixed,AI-powered change risk scoring has reduced failed changes si...,"AI-powered change risk scoring has reduced failed changes significantly. However, implementation complexity is high — we spent 4 months before seeing value",2024-10-10,7,Yes,Maybe
REV-10052,G2,Zoom AI Companion,COO,1001-5000 employees,Insurance,2,Negative,Only works within the Zoom ecosystem — limited value for Tea...,Only works within the Zoom ecosystem — limited value for Teams-heavy organizations,2024-07-17,43,Yes,No
REV-10053,App Store,Slack AI,Sales Manager,51-200 employees,Consulting,5,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-03-03,3,No,Yes
REV-10054,Capterra,ServiceNow AI,CFO,201-500 employees,Technology,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-05-20,20,Yes,Yes
REV-10055,G2,Slack AI,Sales Manager,5001-10000 employees,Legal,2,Negative,Requires Slack Business+ — significant price jump for what f...,Requires Slack Business+ — significant price jump for what feels like a feature,2024-07-04,22,No,No
REV-10056,App Store,Slack AI,IT Director,1001-5000 employees,Consulting,5,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-07-07,15,Yes,Yes
REV-10057,Capterra,SalesForce Einstein,CMO,501-1000 employees,Retail,5,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-06-24,7,Yes,Yes
REV-10058,App Store,Google Workspace AI,IT Director,501-1000 employees,Consulting,5,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-06-26,18,No,Yes
REV-10059,G2,Slack AI,HR Director,201-500 employees,Manufacturing,5,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-03-08,45,No,Yes
REV-10060,Gartner Peer Insights,SalesForce Einstein,HR Director,5001-10000 employees,Insurance,5,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-02-26,22,No,Yes
REV-10061,Trustpilot,SalesForce Einstein,Product Manager,5001-10000 employees,Insurance,4,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-09-10,28,No,Yes
REV-10062,App Store,Zoom AI Companion,HR Director,51-200 employees,Insurance,4,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-05-23,36,Yes,Yes
REV-10063,App Store,Google Workspace AI,VP of Sales,1001-5000 employees,Retail,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-07-01,15,No,Yes
REV-10064,Gartner Peer Insights,Google Workspace AI,CIO,201-500 employees,Consulting,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-04-02,33,Yes,Yes
REV-10065,G2,SalesForce Einstein,CMO,5001-10000 employees,Technology,4,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-10-26,8,Yes,Yes
REV-10066,App Store,Slack AI,VP of Sales,1001-5000 employees,Consulting,4,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-04-03,47,Yes,Yes
REV-10067,Capterra,SalesForce Einstein,Product Manager,201-500 employees,Manufacturing,5,Positive,Automated lead scoring has improved our conversion rates mea...,Automated lead scoring has improved our conversion rates measurably,2024-02-19,10,Yes,Yes
REV-10068,G2,Google Workspace AI,Product Manager,1001-5000 employees,Consulting,3,Mixed,Smart compose has matured significantly — it actually sounds...,"Smart compose has matured significantly — it actually sounds like me now. However, data residency controls are insufficient for our regulated industry requirements",2024-07-08,18,Yes,Maybe
REV-10069,Trustpilot,Slack AI,Sales Manager,201-500 employees,Financial Services,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-05-10,43,Yes,Yes
REV-10070,Trustpilot,ServiceNow AI,CMO,501-1000 employees,Retail,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-09-17,5,No,Yes
REV-10071,Gartner Peer Insights,ServiceNow AI,Operations Manager,501-1000 employees,Financial Services,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-03-17,47,Yes,Yes
REV-10072,App Store,SalesForce Einstein,IT Director,51-200 employees,Legal,4,Positive,Automated lead scoring has improved our conversion rates mea...,Automated lead scoring has improved our conversion rates measurably,2024-05-09,26,Yes,Yes
REV-10073,App Store,ServiceNow AI,HR Director,501-1000 employees,Healthcare,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-06-24,9,Yes,Yes
REV-10074,G2,SalesForce Einstein,IT Director,5001-10000 employees,Insurance,4,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-12-23,5,Yes,Yes
REV-10075,Trustpilot,Google Workspace AI,Operations Manager,5001-10000 employees,Manufacturing,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-08-02,31,No,Yes
REV-10076,Trustpilot,SalesForce Einstein,CFO,5001-10000 employees,Healthcare,4,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-04-16,45,No,Yes
REV-10077,App Store,Google Workspace AI,Product Manager,5001-10000 employees,Manufacturing,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-07-06,46,No,Yes
REV-10078,Gartner Peer Insights,SalesForce Einstein,Operations Manager,1001-5000 employees,Insurance,5,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-10-01,39,Yes,Yes
REV-10079,G2,Zoom AI Companion,Operations Manager,51-200 employees,Manufacturing,4,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-06-17,27,No,Yes
REV-10080,Gartner Peer Insights,ServiceNow AI,Product Manager,201-500 employees,Consulting,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-08-02,18,Yes,Yes
REV-10081,Trustpilot,Zoom AI Companion,CIO,51-200 employees,Manufacturing,3,Mixed,Thread summarization in Zoom Chat saves me 30 minutes a day....,"Thread summarization in Zoom Chat saves me 30 minutes a day. However, only works within the zoom ecosystem — limited value for teams-heavy organizations",2024-07-17,41,Yes,Maybe
REV-10082,App Store,Slack AI,VP of Sales,1001-5000 employees,Consulting,5,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-12-16,23,No,Yes
REV-10083,Trustpilot,Google Workspace AI,Product Manager,501-1000 employees,Consulting,1,Negative,Enterprise admin controls are less mature than Microsoft alt...,Enterprise admin controls are less mature than Microsoft alternatives,2024-11-12,41,Yes,No
REV-10084,G2,Zoom AI Companion,HR Director,1001-5000 employees,Retail,5,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-08-04,12,No,Yes
REV-10085,Capterra,Slack AI,COO,201-500 employees,Financial Services,3,Mixed,Channel summarization is the single best AI feature I use da...,"Channel summarization is the single best AI feature I use daily. However, ai summaries miss nuance in complex technical threads",2024-05-12,1,Yes,Maybe
REV-10086,G2,SalesForce Einstein,Operations Manager,1001-5000 employees,Manufacturing,4,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-10-24,25,Yes,Yes
REV-10087,G2,ServiceNow AI,Sales Manager,5001-10000 employees,Financial Services,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-11-04,33,Yes,Yes
REV-10088,G2,ServiceNow AI,CIO,5001-10000 employees,Technology,3,Mixed,AI-powered change risk scoring has reduced failed changes si...,"AI-powered change risk scoring has reduced failed changes significantly. However, documentation is insufficient for enterprise customization use cases",2024-12-28,20,No,Maybe
REV-10089,Capterra,SalesForce Einstein,COO,51-200 employees,Financial Services,5,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-11-01,31,Yes,Yes
REV-10090,G2,ServiceNow AI,CFO,51-200 employees,Retail,1,Negative,AI outputs require significant human review — not truly auto...,AI outputs require significant human review — not truly autonomous yet,2024-05-15,40,No,No
REV-10091,Trustpilot,Slack AI,VP of Sales,1001-5000 employees,Insurance,1,Negative,Requires Slack Business+ — significant price jump for what f...,Requires Slack Business+ — significant price jump for what feels like a feature,2024-10-11,22,Yes,No
REV-10092,Trustpilot,Zoom AI Companion,CIO,501-1000 employees,Healthcare,5,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-06-06,28,No,Yes
REV-10093,App Store,Slack AI,Operations Manager,201-500 employees,Technology,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-07-01,2,Yes,Yes
REV-10094,G2,Google Workspace AI,Operations Manager,51-200 employees,Legal,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-09-10,38,Yes,Yes
REV-10095,G2,SalesForce Einstein,CIO,501-1000 employees,Financial Services,4,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-12-09,28,Yes,Yes
REV-10096,G2,Zoom AI Companion,CFO,1001-5000 employees,Retail,3,Mixed,Meeting summaries are consistently accurate even in large ca...,"Meeting summaries are consistently accurate even in large calls. However, only works within the zoom ecosystem — limited value for teams-heavy organizations",2024-03-08,8,Yes,Maybe
REV-10097,App Store,ServiceNow AI,COO,501-1000 employees,Consulting,4,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-11-20,17,Yes,Yes
REV-10098,G2,Slack AI,VP of Sales,5001-10000 employees,Financial Services,4,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-03-11,33,Yes,Yes
