Review_ID,Platform,Competitor,Reviewer_Role,Company_Size,Industry,Rating,Sentiment,Review_Title,Review_Body,Date,Helpful_Votes,Verified_Purchase,Would_Recommend
REV-10099,Trustpilot,SalesForce Einstein,IT Director,5001-10000 employees,Insurance,2,Negative,Requires significant admin configuration — out of box experi...,Requires significant admin configuration — out of box experience is weak for enterprise,2024-10-16,8,Yes,No
REV-10100,Capterra,Google Workspace AI,Operations Manager,1001-5000 employees,Technology,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-08-26,23,Yes,Yes
REV-10101,G2,ServiceNow AI,Sales Manager,51-200 employees,Manufacturing,1,Negative,AI outputs require significant human review — not truly auto...,AI outputs require significant human review — not truly autonomous yet,2024-12-18,9,No,No
REV-10102,Gartner Peer Insights,Google Workspace AI,IT Director,1001-5000 employees,Consulting,3,Mixed,Smart compose has matured significantly — it actually sounds...,"Smart compose has matured significantly — it actually sounds like me now. However, enterprise admin controls are less mature than microsoft alternatives",2024-01-27,30,Yes,Maybe
REV-10103,Gartner Peer Insights,Slack AI,HR Director,501-1000 employees,Financial Services,5,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-11-04,36,No,Yes
REV-10104,Trustpilot,Google Workspace AI,CMO,1001-5000 employees,Financial Services,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-01-01,18,No,Yes
REV-10105,G2,ServiceNow AI,Operations Manager,1001-5000 employees,Insurance,4,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-09-20,39,No,Yes
REV-10106,G2,ServiceNow AI,CFO,501-1000 employees,Legal,4,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-11-02,34,Yes,Yes
REV-10107,Capterra,Zoom AI Companion,CMO,51-200 employees,Healthcare,3,Mixed,AI-generated next steps are surprisingly actionable. However...,"AI-generated next steps are surprisingly actionable. However, only works within the zoom ecosystem — limited value for teams-heavy organizations",2024-11-02,8,No,Maybe
REV-10108,Trustpilot,ServiceNow AI,Product Manager,51-200 employees,Consulting,2,Negative,Documentation is insufficient for enterprise customization u...,Documentation is insufficient for enterprise customization use cases,2024-04-26,23,No,No
REV-10109,App Store,Slack AI,VP of Sales,5001-10000 employees,Insurance,5,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-07-22,28,Yes,Yes
REV-10110,Gartner Peer Insights,SalesForce Einstein,Product Manager,201-500 employees,Legal,4,Positive,Automated lead scoring has improved our conversion rates mea...,Automated lead scoring has improved our conversion rates measurably,2024-01-18,17,No,Yes
REV-10111,G2,Zoom AI Companion,Sales Manager,501-1000 employees,Legal,3,Mixed,AI-generated next steps are surprisingly actionable. However...,"AI-generated next steps are surprisingly actionable. However, only works within the zoom ecosystem — limited value for teams-heavy organizations",2024-11-04,12,Yes,Maybe
REV-10112,Gartner Peer Insights,Zoom AI Companion,CIO,201-500 employees,Manufacturing,5,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-02-28,22,No,Yes
REV-10113,App Store,ServiceNow AI,Sales Manager,201-500 employees,Retail,5,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-02-19,7,Yes,Yes
REV-10114,G2,SalesForce Einstein,COO,201-500 employees,Legal,5,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-12-10,40,Yes,Yes
REV-10115,Gartner Peer Insights,SalesForce Einstein,VP of Sales,501-1000 employees,Legal,5,Positive,Automated lead scoring has improved our conversion rates mea...,Automated lead scoring has improved our conversion rates measurably,2024-11-02,33,No,Yes
REV-10116,Trustpilot,Zoom AI Companion,Sales Manager,501-1000 employees,Insurance,5,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-10-21,7,No,Yes
REV-10117,Gartner Peer Insights,Google Workspace AI,Sales Manager,51-200 employees,Financial Services,3,Mixed,Duet AI in Docs is fast and the summarization quality is str...,"Duet AI in Docs is fast and the summarization quality is strong. However, enterprise admin controls are less mature than microsoft alternatives",2024-07-16,14,No,Maybe
REV-10118,App Store,Slack AI,Sales Manager,501-1000 employees,Manufacturing,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-02-14,10,Yes,Yes
REV-10119,Trustpilot,Slack AI,Product Manager,1001-5000 employees,Legal,5,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-06-02,37,Yes,Yes
REV-10120,Capterra,Zoom AI Companion,COO,1001-5000 employees,Retail,4,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-05-10,47,No,Yes
REV-10121,Trustpilot,Google Workspace AI,Product Manager,5001-10000 employees,Insurance,5,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-08-03,33,Yes,Yes
REV-10122,App Store,ServiceNow AI,Product Manager,51-200 employees,Financial Services,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-05-02,21,Yes,Yes
REV-10123,Gartner Peer Insights,ServiceNow AI,IT Director,5001-10000 employees,Healthcare,4,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-07-14,16,Yes,Yes
REV-10124,App Store,Zoom AI Companion,VP of Sales,51-200 employees,Consulting,4,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-02-14,1,Yes,Yes
REV-10125,Gartner Peer Insights,ServiceNow AI,Product Manager,1001-5000 employees,Retail,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-12-28,6,No,Yes
REV-10126,Trustpilot,ServiceNow AI,CIO,5001-10000 employees,Legal,4,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-05-13,2,No,Yes
REV-10127,Gartner Peer Insights,Google Workspace AI,VP of Sales,5001-10000 employees,Retail,4,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-10-12,29,Yes,Yes
REV-10128,Capterra,ServiceNow AI,Operations Manager,501-1000 employees,Healthcare,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-06-08,44,Yes,Yes
REV-10129,Gartner Peer Insights,SalesForce Einstein,Operations Manager,201-500 employees,Legal,4,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-06-01,44,Yes,Yes
REV-10130,Capterra,ServiceNow AI,CMO,5001-10000 employees,Financial Services,4,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-01-02,34,No,Yes
REV-10131,G2,Slack AI,VP of Sales,51-200 employees,Insurance,5,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-01-08,3,No,Yes
REV-10132,Trustpilot,Google Workspace AI,IT Director,51-200 employees,Technology,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-06-08,14,No,Yes
REV-10133,Gartner Peer Insights,SalesForce Einstein,IT Director,201-500 employees,Healthcare,4,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-01-02,20,Yes,Yes
REV-10134,Capterra,Slack AI,CFO,1001-5000 employees,Healthcare,3,Mixed,Channel summarization is the single best AI feature I use da...,"Channel summarization is the single best AI feature I use daily. However, privacy concerns — our legal team blocked broader rollout pending audit",2024-02-03,32,Yes,Maybe
REV-10135,Capterra,ServiceNow AI,CIO,501-1000 employees,Insurance,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-02-21,39,Yes,Yes
REV-10136,App Store,ServiceNow AI,HR Director,5001-10000 employees,Legal,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-02-15,31,No,Yes
REV-10137,App Store,Zoom AI Companion,Sales Manager,1001-5000 employees,Technology,5,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-11-18,27,Yes,Yes
REV-10138,G2,Google Workspace AI,HR Director,1001-5000 employees,Retail,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-05-04,30,Yes,Yes
REV-10139,Gartner Peer Insights,SalesForce Einstein,CIO,501-1000 employees,Healthcare,5,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-02-03,26,Yes,Yes
REV-10140,G2,ServiceNow AI,CIO,51-200 employees,Legal,2,Negative,Documentation is insufficient for enterprise customization u...,Documentation is insufficient for enterprise customization use cases,2024-11-02,28,Yes,No
REV-10141,Capterra,Slack AI,Sales Manager,5001-10000 employees,Retail,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-06-27,43,Yes,Yes
REV-10142,App Store,SalesForce Einstein,VP of Sales,1001-5000 employees,Legal,5,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-06-21,31,Yes,Yes
REV-10143,Gartner Peer Insights,Zoom AI Companion,CIO,1001-5000 employees,Manufacturing,3,Mixed,Meeting summaries are consistently accurate even in large ca...,"Meeting summaries are consistently accurate even in large calls. However, does not integrate with our crm — action items live in a silo",2024-11-27,35,No,Maybe
REV-10144,Capterra,Google Workspace AI,CFO,1001-5000 employees,Legal,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-05-23,22,Yes,Yes
REV-10145,Gartner Peer Insights,ServiceNow AI,Operations Manager,1001-5000 employees,Legal,4,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-03-16,11,Yes,Yes
REV-10146,App Store,SalesForce Einstein,Sales Manager,5001-10000 employees,Manufacturing,3,Mixed,Automated lead scoring has improved our conversion rates mea...,"Automated lead scoring has improved our conversion rates measurably. However, hallucinations in ai-generated email drafts are a real problem — legal flagged several",2024-01-18,47,Yes,Maybe
REV-10147,App Store,Zoom AI Companion,Sales Manager,5001-10000 employees,Retail,5,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-10-16,25,No,Yes
REV-10148,G2,Zoom AI Companion,VP of Sales,51-200 employees,Financial Services,5,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-11-02,41,Yes,Yes
REV-10149,Trustpilot,Google Workspace AI,Operations Manager,501-1000 employees,Manufacturing,5,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-07-02,22,Yes,Yes
REV-10150,G2,Slack AI,IT Director,1001-5000 employees,Insurance,4,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-06-22,10,Yes,Yes
REV-10151,Capterra,Slack AI,COO,201-500 employees,Financial Services,4,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-06-21,20,Yes,Yes
REV-10152,Trustpilot,Google Workspace AI,COO,1001-5000 employees,Healthcare,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-12-14,26,No,Yes
REV-10153,G2,ServiceNow AI,Product Manager,501-1000 employees,Insurance,4,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-02-21,36,Yes,Yes
REV-10154,Trustpilot,Zoom AI Companion,HR Director,501-1000 employees,Insurance,5,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-03-20,4,Yes,Yes
REV-10155,Capterra,Zoom AI Companion,CIO,201-500 employees,Financial Services,4,Positive,AI-generated next steps are surprisingly actionable,AI-generated next steps are surprisingly actionable,2024-11-14,47,No,Yes
REV-10156,Trustpilot,Slack AI,IT Director,5001-10000 employees,Healthcare,4,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-09-28,2,Yes,Yes
REV-10157,Capterra,Google Workspace AI,COO,51-200 employees,Financial Services,5,Positive,Smart compose has matured significantly — it actually sounds...,Smart compose has matured significantly — it actually sounds like me now,2024-03-18,39,No,Yes
REV-10158,G2,Slack AI,HR Director,201-500 employees,Technology,4,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-09-04,37,Yes,Yes
REV-10159,Trustpilot,Slack AI,CMO,201-500 employees,Technology,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-03-08,46,Yes,Yes
REV-10160,App Store,Zoom AI Companion,VP of Sales,201-500 employees,Financial Services,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-11-13,15,No,Yes
REV-10161,Capterra,Slack AI,CFO,1001-5000 employees,Manufacturing,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-08-24,0,Yes,Yes
REV-10162,G2,Slack AI,Product Manager,5001-10000 employees,Consulting,4,Positive,Recap for missed messages has changed how I manage morning c...,Recap for missed messages has changed how I manage morning catch-up,2024-07-10,21,No,Yes
REV-10163,App Store,SalesForce Einstein,CFO,5001-10000 employees,Technology,1,Negative,Requires significant admin configuration — out of box experi...,Requires significant admin configuration — out of box experience is weak for enterprise,2024-08-25,46,Yes,No
REV-10164,G2,Slack AI,CIO,201-500 employees,Financial Services,3,Mixed,Channel summarization is the single best AI feature I use da...,"Channel summarization is the single best AI feature I use daily. However, ai summaries miss nuance in complex technical threads",2024-08-11,44,Yes,Maybe
REV-10165,Trustpilot,ServiceNow AI,Product Manager,201-500 employees,Insurance,4,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-05-02,28,Yes,Yes
REV-10166,Capterra,SalesForce Einstein,Product Manager,5001-10000 employees,Healthcare,5,Positive,Native CRM integration means no context switching — sales re...,Native CRM integration means no context switching — sales reps actually use it,2024-03-23,30,Yes,Yes
REV-10167,Capterra,ServiceNow AI,CMO,5001-10000 employees,Healthcare,5,Positive,Knowledge base surfacing in the agent workspace is exception...,Knowledge base surfacing in the agent workspace is exceptional,2024-04-14,0,Yes,Yes
REV-10168,App Store,Zoom AI Companion,COO,51-200 employees,Insurance,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-01-17,29,No,Yes
REV-10169,Trustpilot,SalesForce Einstein,HR Director,51-200 employees,Insurance,5,Positive,Einstein AI suggestions in pipeline management are genuinely...,Einstein AI suggestions in pipeline management are genuinely useful for deal coaching,2024-06-10,33,Yes,Yes
REV-10170,Trustpilot,ServiceNow AI,Operations Manager,5001-10000 employees,Consulting,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-02-25,43,No,Yes
REV-10171,App Store,Zoom AI Companion,COO,51-200 employees,Manufacturing,5,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-04-17,46,Yes,Yes
REV-10172,App Store,ServiceNow AI,CIO,1001-5000 employees,Insurance,1,Negative,Documentation is insufficient for enterprise customization u...,Documentation is insufficient for enterprise customization use cases,2024-06-05,8,Yes,No
REV-10173,App Store,SalesForce Einstein,Product Manager,201-500 employees,Retail,5,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-07-08,21,Yes,Yes
REV-10174,App Store,Slack AI,Sales Manager,201-500 employees,Financial Services,4,Positive,Search with AI context is dramatically better than keyword s...,Search with AI context is dramatically better than keyword search,2024-02-05,9,Yes,Yes
REV-10175,App Store,ServiceNow AI,VP of Sales,51-200 employees,Manufacturing,4,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-11-17,3,Yes,Yes
REV-10176,Trustpilot,Google Workspace AI,Operations Manager,51-200 employees,Technology,3,Mixed,Meeting summaries in Google Meet are clean and accurate. How...,"Meeting summaries in Google Meet are clean and accurate. However, enterprise admin controls are less mature than microsoft alternatives",2024-07-05,26,No,Maybe
REV-10177,G2,Slack AI,CMO,1001-5000 employees,Healthcare,1,Negative,AI summaries miss nuance in complex technical threads,AI summaries miss nuance in complex technical threads,2024-04-21,12,No,No
REV-10178,Gartner Peer Insights,ServiceNow AI,VP of Sales,1001-5000 employees,Retail,5,Positive,AI-powered change risk scoring has reduced failed changes si...,AI-powered change risk scoring has reduced failed changes significantly,2024-03-22,2,Yes,Yes
REV-10179,Trustpilot,Slack AI,Sales Manager,201-500 employees,Healthcare,2,Negative,AI summaries miss nuance in complex technical threads,AI summaries miss nuance in complex technical threads,2024-02-26,25,Yes,No
REV-10180,Gartner Peer Insights,Zoom AI Companion,Product Manager,5001-10000 employees,Retail,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-09-28,7,No,Yes
REV-10181,G2,Google Workspace AI,VP of Sales,51-200 employees,Insurance,4,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-02-22,1,Yes,Yes
REV-10182,Gartner Peer Insights,Google Workspace AI,VP of Sales,1001-5000 employees,Retail,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-02-10,38,No,Yes
REV-10183,App Store,Zoom AI Companion,COO,5001-10000 employees,Insurance,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-01-04,37,Yes,Yes
REV-10184,Trustpilot,Slack AI,Product Manager,501-1000 employees,Retail,3,Mixed,Search with AI context is dramatically better than keyword s...,"Search with AI context is dramatically better than keyword search. However, privacy concerns — our legal team blocked broader rollout pending audit",2024-09-19,41,Yes,Maybe
REV-10185,Capterra,Google Workspace AI,VP of Sales,201-500 employees,Manufacturing,3,Mixed,Meeting summaries in Google Meet are clean and accurate. How...,"Meeting summaries in Google Meet are clean and accurate. However, data residency controls are insufficient for our regulated industry requirements",2024-10-03,7,Yes,Maybe
REV-10186,App Store,Slack AI,IT Director,201-500 employees,Consulting,4,Positive,Channel summarization is the single best AI feature I use da...,Channel summarization is the single best AI feature I use daily,2024-04-17,25,Yes,Yes
REV-10187,Gartner Peer Insights,Google Workspace AI,VP of Sales,51-200 employees,Retail,5,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-10-13,13,Yes,Yes
REV-10188,Gartner Peer Insights,Google Workspace AI,Product Manager,201-500 employees,Technology,4,Positive,Meeting summaries in Google Meet are clean and accurate,Meeting summaries in Google Meet are clean and accurate,2024-10-07,47,Yes,Yes
REV-10189,G2,Slack AI,Sales Manager,501-1000 employees,Insurance,3,Mixed,Channel summarization is the single best AI feature I use da...,"Channel summarization is the single best AI feature I use daily. However, privacy concerns — our legal team blocked broader rollout pending audit",2024-02-20,36,Yes,Maybe
REV-10190,App Store,ServiceNow AI,Operations Manager,51-200 employees,Manufacturing,5,Positive,Predictive intelligence for ticket routing has cut our first...,Predictive intelligence for ticket routing has cut our first-response time by 30%,2024-01-06,27,Yes,Yes
REV-10191,Trustpilot,Zoom AI Companion,VP of Sales,201-500 employees,Legal,3,Mixed,Thread summarization in Zoom Chat saves me 30 minutes a day....,"Thread summarization in Zoom Chat saves me 30 minutes a day. However, does not integrate with our crm — action items live in a silo",2024-11-02,0,Yes,Maybe
REV-10192,App Store,SalesForce Einstein,HR Director,51-200 employees,Financial Services,5,Positive,Activity summarization in Salesforce saves our managers 2-3 ...,Activity summarization in Salesforce saves our managers 2-3 hours a week,2024-10-15,0,Yes,Yes
REV-10193,Trustpilot,Google Workspace AI,COO,501-1000 employees,Insurance,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-08-19,18,Yes,Yes
REV-10194,App Store,ServiceNow AI,CMO,1001-5000 employees,Financial Services,3,Mixed,AI-powered change risk scoring has reduced failed changes si...,"AI-powered change risk scoring has reduced failed changes significantly. However, documentation is insufficient for enterprise customization use cases",2024-10-20,0,Yes,Maybe
REV-10195,Gartner Peer Insights,Google Workspace AI,CMO,501-1000 employees,Financial Services,4,Positive,Duet AI in Docs is fast and the summarization quality is str...,Duet AI in Docs is fast and the summarization quality is strong,2024-03-17,43,Yes,Yes
REV-10196,G2,Zoom AI Companion,CMO,5001-10000 employees,Healthcare,4,Positive,Thread summarization in Zoom Chat saves me 30 minutes a day,Thread summarization in Zoom Chat saves me 30 minutes a day,2024-06-23,37,Yes,Yes
REV-10197,App Store,Slack AI,COO,51-200 employees,Manufacturing,3,Mixed,Recap for missed messages has changed how I manage morning c...,"Recap for missed messages has changed how I manage morning catch-up. However, no support for cross-workspace summarization in enterprise grid deployments",2024-08-21,22,Yes,Maybe
REV-10198,G2,Zoom AI Companion,HR Director,501-1000 employees,Technology,5,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-08-08,44,Yes,Yes
REV-10199,Trustpilot,Zoom AI Companion,Sales Manager,201-500 employees,Legal,4,Positive,Meeting summaries are consistently accurate even in large ca...,Meeting summaries are consistently accurate even in large calls,2024-03-26,2,No,Yes
